Name (English),Name (Dhivehi),Specialty (English),Specialty (Dhivehi)
ޑރ. Adam Khaleel Yoosuf,ޑރ. އާދަމް ޚަލީލް ޔޫސުފް,Laboratory,ޕެތޮލޮޖީ / ލެބޯޓްރީ
ޑރ. Mohamed Sham,ޑރ. މުޙައްމަދު ޝާމް,Medicine,ބަލިތަކަށް ފަރުވާދޭ
ޑރ. Deepak Kumar,ޑރ. ދީޕަކް ކުމާރު,Anesthesiology,އެނެސްތީސިއޮލޮޖީ
ޑރ. Sadhima Rasheed,ޑރ. ސަދީމާ ރަޝީދު,Anesthesiology,އެނެސްތީސިއޮލޮޖީ
ޑރ. Ali shafeeq,ޑރ. ޢަލީ ޝަފީޤް,Anesthesiology,އެނެސްތީސިއޮލޮޖީ
ޑރ. Praveen Jeya,ޑރ. ޕްރަވީން ޖެޔާ,Dentistry,ދަތުގެ ބަލިތައް
ޑރ. Mariyam Nashwa Naseem,ޑރ. މަރްޔަމް ނަޝްވާ ނަސީމް,Medical Officers,މެޑިކަލް އޮފިސަރުން
ޑރ. Mohamed Shifan,ޑރ. މުޙައްމަދު ޝިފާން,Anesthesiology,އެނެސްތީސިއޮލޮޖީ
ޑރ. Elena Bykova,ޑރ. އެލީނާ ބައިކޯވާ,Anesthesiology,އެނެސްތީސިއޮލޮޖީ
ޑރ. Aishath Ibna Adnan,ޑރ. ޢާއިޝަތު އިބްނާ އަދުނާން,Ophthalmology,ލޮލުގެ ބަލިތައް
ޑރ. Mamatha Chenchugalla,ޑރ. މަމާތާ ޗެންޗުގައްލާ,Anesthesiology,އެނެސްތީސިއޮލޮޖީ
ޑރ. Samahath,ޑރ. ސަމާޙަތު,Paediatrics,ކުޑަކުދިންގެ ބަލިތައް
ޑރ. Bharat Mani Banjade,ޑރ. ބާރަތު މަނީ ބަންޖާޑޭ,Surgery,ސާޖަރީ
ޑރ. Mohamed Razzan Rameez,ޑރ. މުޙައްމަދު ރައްޒާން ރަމީޒް,Orthopedics,ކަށީގެ ބަލިތައް
ޑރ. Zubair Mohamed Didi,ޑރ. ޒުބައިރު މުޙައްމަދު ދީދީ,Anesthesiology,އެނެސްތީސިއޮލޮޖީ
ޑރ. Santosh Kumar Kalla,ޑރ. ސަންތޯޝް ކުމާރު ކައްލާ,Psychiatry,ނަފްސާނީ ބަލިތައް
ޑރ. Soodh Antony,ޑރ. ސޫދު އެންޓަނީ,Dentistry,ދަތުގެ ބަލިތައް
ޑރ. Zeena Mohamed Fuad,ޑރ. ޒީނާ މުޙައްމަދު ފުއާދު,Medicine,ބަލިތަކަށް ފަރުވާދޭ
ޑރ. Mohamed Shaneez Najmy,ޑރ. މުޙައްމަދު ޝަނީޒް ނަޖުމީ,Anesthesiology,އެނެސްތީސިއޮލޮޖީ
ޑރ. Chandra Prasad Paneru,ޑރ. ޗަންދުރަ ޕްރަސާދު,Paediatrics,ކުޑަކުދިންގެ ބަލިތައް
ޑރ. Ibrahim Faisal,ޑރ. އިބްރާހީމް ފައިޞަލް,Endocrinology,އެންޑަކްރިނޮލޮޖީ
ޑރ. Subash Bhatta,ޑރ. ސުބާޝް ބައްޓާ,ENT,ކަންފަތް، ނޭފަތް، ކަރުގެ ބަލިތައް
ޑރ. Mohamed Faisham,ޑރ. މުޙައްމަދު ފައިޝަމް,Anesthesiology,އެނެސްތީސިއޮލޮޖީ
ޑރ. Shirmeen Mohamed,ޑރ. ޝިރްމީން މުޙައްމަދު,Anesthesiology,އެނެސްތީސިއޮލޮޖީ
ޑރ. Gashshaanath Abdul Wahhab,ޑރ. ޣައްޝާނަތު ޢަބްދުލް ވައްހާބް,Medical Officers,މެޑިކަލް އޮފިސަރުން
ޑރ. Ali Abbas Murshed,ޑރ. ޢަލީ ޢައްބާސް މުރުޝިދު,Orthopaedics,ކަށީގެ ބަލިތައް
ޑރ. Fathimath Shaamaly Jaufar,ޑރ. ފާތިމަތު ޝާމަލީ ޖައުފަރު,Anesthesiology,އެނެސްތީސިއޮލޮޖީ
ޑރ. Smriti Manandnar,ޑރ. ސްމްރިތީ މަނަންދަރު,Anesthesiology,އެނެސްތީސިއޮލޮޖީ
ޑރ. Hussain Juman Jaleel,ޑރ. ޙުސައިން ޖުމާން ޖަލީލް,Obstetrics and Gynecology,އަންހެނުންގެ ބަލިތައް
ޑރ. Mohamed Siruhan,ޑރ. މުޙައްމަދު ސިރުހާން,Anesthesiology,އެނެސްތީސިއޮލޮޖީ
ޑރ. Fathimath Shazoo,ޑރ. ފާތިމަތު ޝަޒޫ,Internal Medicine,އެތެރެހަށީގެ ބަލިތައް
ޑރ. Ahmed Zooshan,ޑރ. އަޙްމަދު ޒޫޝާން,Medicine,ބަލިތަކަށް ފަރުވާދޭ
ޑރ. Ibrahim Sujau,ޑރ. އިބްރާހީމް ސުޖާއު,Anesthesiology,އެނެސްތީސިއޮލޮޖީ
ޑރ. Mahaa Waheed,ޑރ. މަހާ ވަޙީދު,Medical Officers,މެޑިކަލް އޮފިސަރުން
ޑރ. Mohamed Areed,ޑރ. މުޙައްމަދު އަރީދު,Paediatrics,ކުޑަކުދިންގެ ބަލިތައް
ޑރ. Abdulla Nazim,ޑރ. ޢަބްދުﷲ ނާޒިމް,Psychiatry,ނަފްސާނީ ބަލިތައް
ޑރ. Mohamed Ali,ޑރ. މުޙައްމަދު ޢަލީ,Medicine,ބަލިތަކަށް ފަރުވާދޭ
ޑރ. Aminath Luhushan,ޑރ. އާމިނަތު ލުހުޝާން,Anesthesiology,އެނެސްތީސިއޮލޮޖީ
ޑރ. Saurav Sunder Shrestha,ޑރ. ސޯރަވް ސުންދަރު ޝްރެސްތާ,Radiology,ރޭޑިއޮލޮޖީ
ޑރ. Miqdhaadh Shareef,ޑރ. މިޤްދާދު ޝަރީފް,Anesthesiology,އެނެސްތީސިއޮލޮޖީ
ޑރ. Sohan Gupta,ޑރ. ސޯހަން ގުޕްތާ,Internal Medicine,އެތެރެހަށީގެ ބަލިތައް
ޑރ. Aishath Eleena,ޑރ. ޢާއިޝަތު އީލީނާ,Anesthesiology,އެނެސްތީސިއޮލޮޖީ
ޑރ. Ismail Zahir,ޑރ. އިސްމާޢީލް ޒާހިރު,Anesthesiology,އެނެސްތީސިއޮލޮޖީ
ޑރ. Sathish Koirala,ޑރ. ސަތިޝް ކޮއިރާލާ,Paediatrics,ކުޑަކުދިންގެ ބަލިތައް
ޑރ. Aminath Zeyba Ahmed,ޑރ. އާމިނަތު ޒޭބާ އަޙްމަދު,Emergency Medicine,އިމަޖެންސީ މެޑިސިން
ޑރ. Anil Khadka,ޑރ. އަނިލް ޚަދްކާ,Anesthesiology,އެނެސްތީސިއޮލޮޖީ
ޑރ. Naflana Ameen,ޑރ. ނަފްލާނާ އަމީން,Paediatrics,ކުޑަކުދިންގެ ބަލިތައް
ޑރ. Nuzha Mohamed,ޑރ. ނުޒްހާ މުޙައްމަދު,Dermatology,ހަމުގެ ބަލިތައް
ޑރ. Quraisha Haneef,ޑރ. ގުރައިޝާ ޙަނީފް,Internal Medicine,އެތެރެހަށީގެ ބަލިތައް
ޑރ. Uzoehchi Eze,ޑރ. އުޒޮއެޗީ އެޒޭ,Psychiatry,ނަފްސާނީ ބަލިތައް
ޑރ. Ahmed Shifaz,ޑރ. އަޙްމަދު ޝިފާޒް,ENT,ކަންފަތް، ނޭފަތް، ކަރުގެ ބަލިތައް
ޑރ. Abdulla Niyaf,ޑރ. ޢަބްދުﷲ ނިޔާފް,Pediatrics,ކުޑަކުދިންގެ ބަލިތައް
ޑރ. Budhi Nath Adhikari,ޑރ. ބުދީ ނާތު އަދިކާރީ,Plastic Surgery,ޕްލާސްޓިކް ސާޖަރީ
ޑރ. Madheeh Hussain,ޑރ. މަދީޙް މުޙައްމަދު,Emergency Medicine,އިމަޖެންސީ މެޑިސިން
ޑރ. Robin Bhattarai,ޑރ. ރޮބިން ބައްޓަރާއި,Neurosurgery,ނިއުރޯސާޖަރީ
ޑރ. Ahmed Ziyan,ޑރ. އަޙްމަދު ޒިޔާން,Emergency Medicine,އިމަޖެންސީ މެޑިސިން
ޑރ. Kanchan Dahal,ޑރ. ކަންޗަން ދަހާލް,Psychiatry,ނަފްސާނީ ބަލިތައް
ޑރ. Shanooha Mansoor,ޑރ. ޝަނޫހާ މަންޞޫރު,Psychiatry,ނަފްސާނީ ބަލިތައް
ޑރ. Mohamed Shafiu,ޑރ. މުޙައްމަދު ޝަފީޢު,Vascular Surgery,ލޭހޮޅީގެ ސާޖަރީ
ޑރ. Mauroof Wisam,ޑރ. މަޢުރޫފް ވިސާމް,Surgery,ސާޖަރީ
ޑރ. Prajwol Thapa,ޑރ. ޕްރަޖްވޮލް ތާޕާ,Psychiatry,ނަފްސާނީ ބަލިތައް
ޑރ. Fathimath Zuwaida,ޑރ. ފާތިމަތު ޒުވައިދާ,Surgery,ސާޖަރީ
ޑރ. Roshan Shrestha,ޑރ. ރޯޝަން ޝްރެސްތާ,Pulmonary Medicine,ފުއްޕާމޭގެ ބަލިތައް
ޑރ. Aminath Shanaz,ޑރ. އާމިނަތު ޝަނާޒް,Pediatric Gastro,ކުޑަކުދިންގެ ބަނޑުގެ ބަލިތައް
ޑރ. Ahmed Saif,ޑރ. އަޙްމަދު ސައިފް,Endocrinology,އެންޑަކްރިނޮލޮޖީ
ޑރ. Ravi Kanodia,ޑރ. ރަވީ ކަނޯޑިއާ,Oncology,ކެންސަރުގެ ބަލިތައް
ޑރ. Murari Prasad,ޑރ. މުރާރީ ޕްރަސާދު,Cardiology,ހިތުގެ ބަލިތައް
ޑރ. Binod Gautam,ޑރ. ބިނޯދު ގޯތަމް,Anesthesia,އެނެސްތީސިއޮލޮޖީ
ޑރ. Shanti Jaishi,ޑރ. ޝާންތީ ޖައިޝީ,Obstetrics & Gynecology,އަންހެނުންގެ ބަލިތައް
ޑރ. Mukesh Prasad Sah,ޑރ. މުކޭޝް ޕްރަސާދު,Gastroenterology,ބަނޑާއި ގޮހޮރުގެ ބަލިތައް
ޑރ. Vivek Kumar,ޑރ. ވިވެކް ކުމާރު,Neurology,ނިއުރޮލޮޖީ
ޑރ. Prem Raj Sigdel,ޑރ. ޕްރޭމް ރާޖް ސިގްޑެލް,Urology,ކުޑަކަމުދާ ނިޒާމުގެ ބަލިތައް
ޑރ. Ahmed Nishan,ޑރ. އަޙްމަދު ނިޝާން,Surgery,ސާޖަރީ
