Name (English),Specialty (English),Name (Dhivehi),Specialty (Dhivehi)
Aminath Lamha Ali,Medical Officers,,
Dr. A F M Rafatuzzaman,Medical Officers,,
Dr. Aamaal Najeeb,Medical Officers,,
Dr. Abdikadir Hassan Hussein,Medical Officers,,
Dr. Abdulla Ahusan,Medical Officers,,
Dr. Afaaf Ahmed,Medical Officers,,
Dr. Afla Suhail,Radiology,,
Dr. Ahmad Alkamel Hamed Mosa,Opthalmology,,
Dr. Ahmed Abdulla,Medicine,,
Dr. Ahmed Faisal,Anesthesiology,,
Dr. Ahmed Mahmoud Sami Ahmed Hussein,Orthopaedics,,
Dr. Ahmed Migdhaadh,Anesthesiology,,
Dr. Ahmed R Ragab Zubi,Surgery,,
Dr. Ahmed Rasheed,Anesthesiology,,
Dr. Aishath Maashy Ibrahim,Medical Officers,,
Dr. Aishath Neena Shareef,Anesthesiology,,
Dr. Aishath Reema,Anesthesiology,,
Dr. Aishath Sa'aa Mohamed,Medical Officers,,
Dr. Aishath Shaffaf Ahmed,Medical Officers,,
Dr. Aishath Shibana Ahmed,Anesthesiology,,
Dr. Aishath Ziyan,Medical Officers,,
Dr. Alaa Hassan Ahmed Oraby,Radiology,,
Dr. Ali Abbas Murshed Abduabdullah,Orthopaedics,,
Dr. Ali Abdulla Latheef,Anesthesiology,,
Dr. Ali Nazeem,Anesthesiology,,
Dr. Aminath Arifa,Anesthesiology,,
Dr. Aminath Haifa,Medical Officers,,
Dr. Aminath Ifasha Gasim,Orthopedics,,
Dr. Aminath Ihusaana,Radiology,,
Dr. Aminath Limya,Obstetrics and Gynecology,,
Dr. Aminath Minna Hussain,Anesthesiology,,
Dr. Aminath Munaza,Medicine,,
Dr. Aminath Nazaaha,Medical Officers,,
Dr. Aminath Nazeer,Anesthesiology,,
Dr. Aminath Saleem,Anesthesiology,,
Dr. Aminath Samha,Medical Officers,,
Dr. Aminath Shanaz Adil,Pediatric Gastroenterology and Hepatology,,
Dr. Aminath Shaufa,Medical Officers,,
Dr. Aminath Zahra,Obstetrics and Gynecology,,
Dr. Amr Reda Mohamed Badawy Mahmoud,Anesthesiology,,
Dr. Anjana K C,Pathology,,
Dr. Asadh Mohamed Shaheed,Anesthesiology,,
Dr. Ashish Kailashchandra Nema,Anesthesiology,,
Dr. Basma Ibrahim Sobir,Anesthesiology,,
Dr. Budhi Nath Adhikari Sudhin,Reconstructive Regenerative and Aesthetic Surgery,,
Dr. Debashis Das,Anesthesiology,,
Dr. Deepak Kumar Sundaresh Bhyratae,Anesthesiology,,
Dr. Dharmesh R Bhatti,Obstetrics & Gynecology,,
Dr. Dusooma Abdul Razzag,Anesthesia,,
Dr. Fathimath Abdulla Zuhair,Obstetrics and Gynecology,,
Dr. Fathimath Fahudha Sayd,Medical Officers,,
Dr. Fathimath Leeshiya Ahmed,Medical Officers,,
Dr. Fathimath Mufliha,Anesthesiology,,
Dr. Fathimath Nasiha,Pediatrics,,
Dr. Fathimath Shoora,ENT,,
Dr. Fathmath Shudhfa Ibrahim,Radiology,,
Dr. Fathmath Zail Azmeel,Medical Officers,,
Dr. Fatimath Shazma Rameez,Obstetrics and Gynecology,,
Dr. Firdhaus Rasheed,Dentistry,,
Dr. Hammad Adam,Surgery,,
Dr. Hanaan Shafeeq,Medical Officers,,
Dr. Hawwa Ashfah,Anesthesiology,,
Dr. Hishama Abdulla,Medical Officers,,
Dr. Hiyan Habeeb,Medicine,,
Dr. Hussain Faisal,Anesthesiology,,
Dr. Hussain Hameed,Surgery,,
Dr. Ibrahim Shibl Ibrahim Shehabel Din,Radiology,,
Dr. Ishwor Raj Devkota,ENT,,
Dr. Jabeen Ali Shareef,Anesthesiology,,
Dr. Jahangir Ahmed Sheikh,Medical Officers,,
Dr. Juwairiya Ahmed,Obstetrics and Gynecology,,
Dr. Khadheejath Saamira,Psychiatry,,
Dr. Leena Saleem,Obstetrics & Gynecology,,
Dr. Madheeh Mohamed Hussain,Emergency Medicine,,
Dr. Mahmoud Abdelaziz Mohamed Elshahawy,Surgery,,
Dr. Malay Halder Plabon,Medical Officers,,
Dr. Manoj Munirathinam,Anesthesiology,,
Dr. Mariyam Ahmed,Anesthesiology,,
Dr. Mariyam Niyaz,Anesthesiology,,
Dr. Mariyam Shahana Mufeed,Ophthalmology,,
Dr. Mariyam Shazna,Obstetrics & Gynecology,,
Dr. Mariyam Yoomy,Orthopaedics,,
Dr. Mauroofa Abdul Latheef,E.N.T,,
Dr. Meeza Haany,Paediatrics,,
Dr. Milza Abdul Muhsin,Pathology,,
Dr. Moataz Ayman Saleh Abdelaziz,Cardiothoracic & Vascular Surgery,,
Dr. Mohamed Aarish,Medical Officers,,
Dr. Mohamed Areed Abdelwahab,Paediatrics,,
Dr. Mohamed Aseel Jaleel,Anesthesiology,,
Dr. Mohamed Elshaarawi Mohamed Youssif,Anesthesia,,
Dr. Mohamed Elshaarawi Mohamed Youssif,Anesthesiology,,
Dr. Mohamed Haikal Abdul Rahman,Anesthesiology,,
Dr. Mohamed Hisan Hayyu,Medical Officers,,
Dr. Mohamed Ismail,Anesthesiology,,
Dr. Mohamed Kamel Sobhi Mohamed,Surgery,,
Dr. Mohamed Mausool Siraj,Sub Specialist in Cardiology,,
Dr. Mohamed Mishwaar Ashfaq,Orthopedics,,
Dr. Mohamed Omar Abdelaleem Ahmed,Orthopaedics,,
Dr. Mohamed Rifshan Ismail,Surgery,,
Dr. Mohamed Shaffaf Ismail,Medical Officers,
