name,type,address,atoll,contact,email,google_maps_url,page
"A,Dh. Dhangethi Health center",Health Centre Grade 3,"A,Dh. Dhangethi Health center",,3328887,[email protected],https://www.google.com/maps/search/?api=1&query=A%2CDh.%20Dhangethi%20Health%20center%2C%20%2C%20Maldives,1
A.A Feridhoo Health Centre,Health Centre Grade 2,"A.A Feridhoo Health Centre, Alif Alif Atoll",Alif Alif Atoll,3328887,[email protected],https://www.google.com/maps/search/?api=1&query=A.A%20Feridhoo%20Health%20Centre%2C%20Alif%20Alif%20Atoll%2C%20Maldives,1
A.A. Maalhos Health Centre,Health Centre Grade 1,"A.A. Maalhos Health Centre, A.A.",A.A.,3328887,[email protected],https://www.google.com/maps/search/?api=1&query=A.A.%20Maalhos%20Health%20Centre%2C%20A.A.%2C%20Maldives,1
A.Dh Dhidhoo Health Centre,Health Centre Grade 1,"A.Dh Dhidhoo Health Centre, A.Dh",A.Dh,3328887,[email protected],https://www.google.com/maps/search/?api=1&query=A.Dh%20Dhidhoo%20Health%20Centre%2C%20A.Dh%2C%20Maldives,1
A.Dh Dhigurah Health Centre,Health Centre Grade 2,"A.Dh Dhigurah Health Centre, A.Dh",A.Dh,3328887,[email protected],https://www.google.com/maps/search/?api=1&query=A.Dh%20Dhigurah%20Health%20Centre%2C%20A.Dh%2C%20Maldives,1
A.Dh Maamigilee Health Centre,Health Centre Grade 4,"A.Dh Maamigilee Health Centre, A.Dh",A.Dh,3328887,[email protected],https://www.google.com/maps/search/?api=1&query=A.Dh%20Maamigilee%20Health%20Centre%2C%20A.Dh%2C%20Maldives,1
A.Dh Mandhoo Health Centre,Health Centre Grade 1,"A.Dh Mandhoo Health Centre, A.Dh",A.Dh,3328887,[email protected],https://www.google.com/maps/search/?api=1&query=A.Dh%20Mandhoo%20Health%20Centre%2C%20A.Dh%2C%20Maldives,1
AA. Atoll Hospital,Hospital Grade 1,"AA. Atoll Hospital, AA.",AA.,3328887,[email protected],https://www.google.com/maps/search/?api=1&query=AA.%20Atoll%20Hospital%2C%20AA.%2C%20Maldives,1
AA. Bodufolhudhoo Health Centre,Health Centre Grade 1,"AA. Bodufolhudhoo Health Centre, AA.",AA.,3328887,[email protected],https://www.google.com/maps/search/?api=1&query=AA.%20Bodufolhudhoo%20Health%20Centre%2C%20AA.%2C%20Maldives,1
AA. Himandhoo Health center,Health Centre Grade 1,"AA. Himandhoo Health center, AA.",AA.,3328887,[email protected],https://www.google.com/maps/search/?api=1&query=AA.%20Himandhoo%20Health%20center%2C%20AA.%2C%20Maldives,1
AA. Mathiveree Health Centre,Health Centre Grade 3,"AA. Mathiveree Health Centre, AA.",AA.,3328887,[email protected],https://www.google.com/maps/search/?api=1&query=AA.%20Mathiveree%20Health%20Centre%2C%20AA.%2C%20Maldives,1
AA. Thoddoo Health Centre,Health Centre Grade 3,"AA. Thoddoo Health Centre, AA.",AA.,3328887,[email protected],https://www.google.com/maps/search/?api=1&query=AA.%20Thoddoo%20Health%20Centre%2C%20AA.%2C%20Maldives,1
AA. Ukulhas Health Centre,Health Centre Grade 3,"AA. Ukulhas Health Centre, AA.",AA.,3328887,[email protected],https://www.google.com/maps/search/?api=1&query=AA.%20Ukulhas%20Health%20Centre%2C%20AA.%2C%20Maldives,1
Aahiyans Medical Clinic,General Clinic,"Aahiyans Medical Clinic, Aahiyans",Aahiyans,7933326 / 7783818,[email protected],https://www.google.com/maps/search/?api=1&query=Aahiyans%20Medical%20Clinic%2C%20Aahiyans%2C%20Maldives,1
Aanugandu Island Resort Clinic,General Clinic,"Aanugandu Island Resort Clinic, Aanugandu",Aanugandu,3300668,[email protected],https://www.google.com/maps/search/?api=1&query=Aanugandu%20Island%20Resort%20Clinic%2C%20Aanugandu%2C%20Maldives,1
Aarah Clinic,General Clinic,"Aarah Clinic, Aarah",Aarah,3315236,[email protected],https://www.google.com/maps/search/?api=1&query=Aarah%20Clinic%2C%20Aarah%2C%20Maldives,2
Abuharee Medical Centre,General Clinic,"Abuharee Medical Centre, Abuharee",Abuharee,9635808,[email protected],https://www.google.com/maps/search/?api=1&query=Abuharee%20Medical%20Centre%2C%20Abuharee%2C%20Maldives,2
Addu Equatorial Hospital,Tertiary Hospital,"Addu Equatorial Hospital, Addu",Addu,3328887,[email protected],https://www.google.com/maps/search/?api=1&query=Addu%20Equatorial%20Hospital%2C%20Addu%2C%20Maldives,2
Adh. Atoll Hospital,Hospital Grade 1,"Adh. Atoll Hospital, Adh.",Adh.,3328887,[email protected],https://www.google.com/maps/search/?api=1&query=Adh.%20Atoll%20Hospital%2C%20Adh.%2C%20Maldives,2
Adh. Fenfushi Health Centre,Health Centre Grade 2,"Adh. Fenfushi Health Centre, Adh.",Adh.,3328887,[email protected],https://www.google.com/maps/search/?api=1&query=Adh.%20Fenfushi%20Health%20Centre%2C%20Adh.%2C%20Maldives,2
Adh. Hangnaameedhoo Health Centre,Health Centre Grade 1,"Adh. Hangnaameedhoo Health Centre, Adh.",Adh.,3328887,[email protected],https://www.google.com/maps/search/?api=1&query=Adh.%20Hangnaameedhoo%20Health%20Centre%2C%20Adh.%2C%20Maldives,2
Adh. Kurunburudhoo Health Centre,Health Centre Grade 1,"Adh. Kurunburudhoo Health Centre, Adh.",Adh.,3328887,[email protected],https://www.google.com/maps/search/?api=1&query=Adh.%20Kurunburudhoo%20Health%20Centre%2C%20Adh.%2C%20Maldives,2
Adh. Omadhoo Health Centre,Health Centre Grade 2,"Adh. Omadhoo Health Centre, Adh.",Adh.,3328887,[email protected],https://www.google.com/maps/search/?api=1&query=Adh.%20Omadhoo%20Health%20Centre%2C%20Adh.%2C%20Maldives,2
ADK Hospital,Tertiary Hospital,"ADK Hospital, ADK",ADK,1440 / 3313553,[email protected],https://www.google.com/maps/search/?api=1&query=ADK%20Hospital%2C%20ADK%2C%20Maldives,2
ADK Hospital Reach Clinic,General Clinic,"ADK Hospital Reach Clinic, ADK",ADK,9742622,[email protected],https://www.google.com/maps/search/?api=1&query=ADK%20Hospital%20Reach%20Clinic%2C%20ADK%2C%20Maldives,2
Advance Diagnostic Center,General Clinic,"Advance Diagnostic Center, Advance",Advance,7785320,[email protected],https://www.google.com/maps/search/?api=1&query=Advance%20Diagnostic%20Center%2C%20Advance%2C%20Maldives,2
Advance Eye Clinic,Area Specific Clinic,"Advance Eye Clinic, Advance",Advance,3001819,[email protected],https://www.google.com/maps/search/?api=1&query=Advance%20Eye%20Clinic%2C%20Advance%2C%20Maldives,2
Advance Medical Clinic,General Clinic,"Advance Medical Clinic, Advance",Advance,3007788,,https://www.google.com/maps/search/?api=1&query=Advance%20Medical%20Clinic%2C%20Advance%2C%20Maldives,2
AIMS Diagnostic Care,General Clinic,"AIMS Diagnostic Care, AIMS",AIMS,6898091,[email protected],https://www.google.com/maps/search/?api=1&query=AIMS%20Diagnostic%20Care%2C%20AIMS%2C%20Maldives,2
AL- KHAIRU MEDICAL CENTRE,General Clinic,AL- KHAIRU MEDICAL CENTRE,,7786635,[email protected],https://www.google.com/maps/search/?api=1&query=AL-%20KHAIRU%20MEDICAL%20CENTRE%2C%20%2C%20Maldives,2
Alai Clinic,Therapeutic Service Clinic,"Alai Clinic, Alai",Alai,7800415,[email protected],https://www.google.com/maps/search/?api=1&query=Alai%20Clinic%2C%20Alai%2C%20Maldives,3
Alai Play and Learn Therapy Center,Therapeutic Service Clinic,"Alai Play and Learn Therapy Center, Alai",Alai,7918157,[email protected],https://www.google.com/maps/search/?api=1&query=Alai%20Play%20and%20Learn%20Therapy%20Center%2C%20Alai%2C%20Maldives,3
Ali Rasheed Dhivehi Beys Clinic,Traditional Medicine Clinic,"Ali Rasheed Dhivehi Beys Clinic, Ali",Ali,7820213,,https://www.google.com/maps/search/?api=1&query=Ali%20Rasheed%20Dhivehi%20Beys%20Clinic%2C%20Ali%2C%20Maldives,3
Alimatha Clinic,General Clinic,"Alimatha Clinic, Alimatha",Alimatha,7795352,[email protected],https://www.google.com/maps/search/?api=1&query=Alimatha%20Clinic%2C%20Alimatha%2C%20Maldives,3
Ambience Medical ServicesClosed,General Clinic,"Ambience Medical ServicesClosed, Ambience",Ambience,7633394 / 7926688,[email protected],https://www.google.com/maps/search/?api=1&query=Ambience%20Medical%20ServicesClosed%2C%20Ambience%2C%20Maldives,3
AMG Clinic,General Clinic,"AMG Clinic, AMG",AMG,9790079,[email protected],https://www.google.com/maps/search/?api=1&query=AMG%20Clinic%2C%20AMG%2C%20Maldives,3
Amilla Sihhath,General Clinic,"Amilla Sihhath, Amilla",Amilla,7799660,[email protected],https://www.google.com/maps/search/?api=1&query=Amilla%20Sihhath%2C%20Amilla%2C%20Maldives,3
Amina Dhiyo Health Centre,Health Centre Grade 1,"Amina Dhiyo Health Centre, Amina",Amina,3328887,[email protected],https://www.google.com/maps/search/?api=1&query=Amina%20Dhiyo%20Health%20Centre%2C%20Amina%2C%20Maldives,3
Amingiri Clinic,General Clinic,"Amingiri Clinic, Amingiri",Amingiri,3324369,[email protected],https://www.google.com/maps/search/?api=1&query=Amingiri%20Clinic%2C%20Amingiri%2C%20Maldives,3
Ana's Aesthetic Clinic,General Clinic,Ana's Aesthetic Clinic,,7771829,[email protected],https://www.google.com/maps/search/?api=1&query=Ana%27s%20Aesthetic%20Clinic%2C%20%2C%20Maldives,3
Ananatara Dhigu Clinic,General Clinic,"Ananatara Dhigu Clinic, Ananatara",Ananatara,7301312,[email protected],https://www.google.com/maps/search/?api=1&query=Ananatara%20Dhigu%20Clinic%2C%20Ananatara%2C%20Maldives,3
Anantara Kihavah Villas Clinic,General Clinic,"Anantara Kihavah Villas Clinic, Anantara",Anantara,7964015,[email protected],https://www.google.com/maps/search/?api=1&query=Anantara%20Kihavah%20Villas%20Clinic%2C%20Anantara%2C%20Maldives,3
Angaga Medicals,General Clinic,"Angaga Medicals, Angaga",Angaga,9999991,[email protected],https://www.google.com/maps/search/?api=1&query=Angaga%20Medicals%2C%20Angaga%2C%20Maldives,3
Angsana Velavaru Medical Centre,General Clinic,"Angsana Velavaru Medical Centre, Angsana",Angsana,6760028,[email protected],https://www.google.com/maps/search/?api=1&query=Angsana%20Velavaru%20Medical%20Centre%2C%20Angsana%2C%20Maldives,3
Asisa Medical Center,General Clinic,"Asisa Medical Center, Asisa",Asisa,3013909,[email protected],https://www.google.com/maps/search/?api=1&query=Asisa%20Medical%20Center%2C%20Asisa%2C%20Maldives,3
Athuruga Medical Clinic,General Clinic,"Athuruga Medical Clinic, Athuruga",Athuruga,7776440,[email protected],https://www.google.com/maps/search/?api=1&query=Athuruga%20Medical%20Clinic%2C%20Athuruga%2C%20Maldives,4
Atoll ClinicClosed,General Clinic,"Atoll ClinicClosed, Atoll",Atoll,7784494,[email protected],https://www.google.com/maps/search/?api=1&query=Atoll%20ClinicClosed%2C%20Atoll%2C%20Maldives,4
Atolls Guest Clinic,General Clinic,"Atolls Guest Clinic, Atolls",Atolls,7772991,[email protected],https://www.google.com/maps/search/?api=1&query=Atolls%20Guest%20Clinic%2C%20Atolls%2C%20Maldives,4
Avani Clinic,General Clinic,"Avani Clinic, Avani",Avani,,[email protected],https://www.google.com/maps/search/?api=1&query=Avani%20Clinic%2C%20Avani%2C%20Maldives,4
Ayada Maldives Resort Clinic,General Clinic,"Ayada Maldives Resort Clinic, Ayada",Ayada,6844444,[email protected],https://www.google.com/maps/search/?api=1&query=Ayada%20Maldives%20Resort%20Clinic%2C%20Ayada%2C%20Maldives,4
Ayurvedic Therapy,Traditional Medicine Clinic,"Ayurvedic Therapy, Ayurvedic",Ayurvedic,9753776,[email protected],https://www.google.com/maps/search/?api=1&query=Ayurvedic%20Therapy%2C%20Ayurvedic%2C%20Maldives,4
Azmi Naeem Medical and Diagnostic Centre,General Clinic,"Azmi Naeem Medical and Diagnostic Centre, Azmi",Azmi,3325979,[email protected],https://www.google.com/maps/search/?api=1&query=Azmi%20Naeem%20Medical%20and%20Diagnostic%20Centre%2C%20Azmi%2C%20Maldives,4
B. Dharavandhoo Health Centre,Health Centre Grade 3,"B. Dharavandhoo Health Centre, B.",B.,3328887,[email protected],https://www.google.com/maps/search/?api=1&query=B.%20Dharavandhoo%20Health%20Centre%2C%20B.%2C%20Maldives,4
B. Dhonfanu  Health Centre,Health Centre Grade 1,"B. Dhonfanu  Health Centre, B.",B.,3328887,[email protected],https://www.google.com/maps/search/?api=1&query=B.%20Dhonfanu%20%20Health%20Centre%2C%20B.%2C%20Maldives,4
B. Fehendhoo Health Centre,Health Centre Grade 1,"B. Fehendhoo Health Centre, B.",B.,3328887,[email protected],https://www.google.com/maps/search/?api=1&query=B.%20Fehendhoo%20Health%20Centre%2C%20B.%2C%20Maldives,4
B. Fulhadhoo Health Centre,Health Centre Grade 1,"B. Fulhadhoo Health Centre, B.",B.,,[email protected],https://www.google.com/maps/search/?api=1&query=B.%20Fulhadhoo%20Health%20Centre%2C%20B.%2C%20Maldives,4
B. Goidhoo Health Centre,Health Centre Grade 3,"B. Goidhoo Health Centre, B.",B.,3328887,[email protected],https://www.google.com/maps/search/?api=1&query=B.%20Goidhoo%20Health%20Centre%2C%20B.%2C%20Maldives,4
B. Hithaadhoo Health Centre,Health Centre Grade 2,"B. Hithaadhoo Health Centre, B.",B.,3328887,[email protected],https://www.google.com/maps/search/?api=1&query=B.%20Hithaadhoo%20Health%20Centre%2C%20B.%2C%20Maldives,4
B. Kamadhoo Health Center,Health Centre Grade 1,"B. Kamadhoo Health Center, B.",B.,3328887,[email protected],https://www.google.com/maps/search/?api=1&query=B.%20Kamadhoo%20Health%20Center%2C%20B.%2C%20Maldives,4
B. Kendhoo Health Centre,Health Centre Grade 3,"B. Kendhoo Health Centre, B.",B.,3328887,[email protected],https://www.google.com/maps/search/?api=1&query=B.%20Kendhoo%20Health%20Centre%2C%20B.%2C%20Maldives,4
B. Kihaadhoo Health Centre,Health Centre Grade 1,"B. Kihaadhoo Health Centre, B.",B.,3328887,[email protected],https://www.google.com/maps/search/?api=1&query=B.%20Kihaadhoo%20Health%20Centre%2C%20B.%2C%20Maldives,5
B. Kudarikili Health Centre,Health Centre Grade 1,"B. Kudarikili Health Centre, B.",B.,3328887,[email protected],https://www.google.com/maps/search/?api=1&query=B.%20Kudarikili%20Health%20Centre%2C%20B.%2C%20Maldives,5
B. Maalhos Health Centre,Health Centre Grade 1,"B. Maalhos Health Centre, B.",B.,3328887,[email protected],https://www.google.com/maps/search/?api=1&query=B.%20Maalhos%20Health%20Centre%2C%20B.%2C%20Maldives,5
B. Thulhaadhoo Health Centre,Health Centre Grade 4,"B. Thulhaadhoo Health Centre, B.",B.,3328887,[email protected],https://www.google.com/maps/search/?api=1&query=B.%20Thulhaadhoo%20Health%20Centre%2C%20B.%2C%20Maldives,5
Baa Atoll Hospital,Hospital Grade 2,"Baa Atoll Hospital, Baa Atoll",Baa Atoll,3328887,[email protected],https://www.google.com/maps/search/?api=1&query=Baa%20Atoll%20Hospital%2C%20Baa%20Atoll%2C%20Maldives,5
Bandos Medical Clinic and Hyperbaric Treatment Centre,General Clinic,"Bandos Medical Clinic and Hyperbaric Treatment Centre, Bandos",Bandos,6640088,[email protected],https://www.google.com/maps/search/?api=1&query=Bandos%20Medical%20Clinic%20and%20Hyperbaric%20Treatment%20Centre%2C%20Bandos%2C%20Maldives,5
Baros Clinic,General Clinic,"Baros Clinic, Baros",Baros,3323080,[email protected],https://www.google.com/maps/search/?api=1&query=Baros%20Clinic%2C%20Baros%2C%20Maldives,5
BCare,General Clinic,BCare,,9312222,[email protected],https://www.google.com/maps/search/?api=1&query=BCare%2C%20%2C%20Maldives,5
Bliss Care,Therapeutic Service Clinic,"Bliss Care, Bliss",Bliss,9899164,[email protected],https://www.google.com/maps/search/?api=1&query=Bliss%20Care%2C%20Bliss%2C%20Maldives,5
Blu Clinic,General Clinic,"Blu Clinic, Blu",Blu,7303558,[email protected],https://www.google.com/maps/search/?api=1&query=Blu%20Clinic%2C%20Blu%2C%20Maldives,5
Bluspan Care,Therapeutic Service Clinic,"Bluspan Care, Bluspan",Bluspan,7943112 / 9553112,[email protected],https://www.google.com/maps/search/?api=1&query=Bluspan%20Care%2C%20Bluspan%2C%20Maldives,5
Bluspan Care Annex - 1,Therapeutic Service Clinic,"Bluspan Care Annex - 1, Bluspan",Bluspan,7943112 / 9553112,[email protected],https://www.google.com/maps/search/?api=1&query=Bluspan%20Care%20Annex%20-%201%2C%20Bluspan%2C%20Maldives,5
Bluspan Care Dhidhdhoo,Therapeutic Service Clinic,"Bluspan Care Dhidhdhoo, Bluspan",Bluspan,9553112,[email protected],https://www.google.com/maps/search/?api=1&query=Bluspan%20Care%20Dhidhdhoo%2C%20Bluspan%2C%20Maldives,5
Blyss Multi-Specialty Therapy Centre,General Clinic,"Blyss Multi-Specialty Therapy Centre, Blyss",Blyss,7930105,[email protected],https://www.google.com/maps/search/?api=1&query=Blyss%20Multi-Specialty%20Therapy%20Centre%2C%20Blyss%2C%20Maldives,5
Bolifushi Clinic,General Clinic,"Bolifushi Clinic, Bolifushi",Bolifushi,6642020,[email protected],https://www.google.com/maps/search/?api=1&query=Bolifushi%20Clinic%2C%20Bolifushi%2C%20Maldives,5
Bulbul Multi Rehab Clinic,Therapeutic Service Clinic,"Bulbul Multi Rehab Clinic, Bulbul",Bulbul,9887153,[email protected],https://www.google.com/maps/search/?api=1&query=Bulbul%20Multi%20Rehab%20Clinic%2C%20Bulbul%2C%20Maldives,6
Bulbul Multi Rehab Clinic,Therapeutic Service Clinic,"Bulbul Multi Rehab Clinic, Bulbul",Bulbul,9887153,[email protected],https://www.google.com/maps/search/?api=1&query=Bulbul%20Multi%20Rehab%20Clinic%2C%20Bulbul%2C%20Maldives,6
Bulbul Therapy Clinic,Therapeutic Service Clinic,"Bulbul Therapy Clinic, Bulbul",Bulbul,7993030,[email protected],https://www.google.com/maps/search/?api=1&query=Bulbul%20Therapy%20Clinic%2C%20Bulbul%2C%20Maldives,6
Care Max Clinic 1,General Clinic,"Care Max Clinic 1, Care",Care,7772526,[email protected],https://www.google.com/maps/search/?api=1&query=Care%20Max%20Clinic%201%2C%20Care%2C%20Maldives,6
Care Medicals Services,General Clinic,"Care Medicals Services, Care",Care,9940909,[email protected],https://www.google.com/maps/search/?api=1&query=Care%20Medicals%20Services%2C%20Care%2C%20Maldives,6
Care Trust Multi Speciality Clinic,General Hospital,"Care Trust Multi Speciality Clinic, Care",Care,7785581,[email protected],https://www.google.com/maps/search/?api=1&query=Care%20Trust%20Multi%20Speciality%20Clinic%2C%20Care%2C%20Maldives,6
CAREMORE MEDICALS,General Clinic,"CAREMORE MEDICALS, CAREMORE",CAREMORE,7747722,[email protected],https://www.google.com/maps/search/?api=1&query=CAREMORE%20MEDICALS%2C%20CAREMORE%2C%20Maldives,6
CareOne Dental & Clinic,General Clinic,"CareOne Dental & Clinic, CareOne",CareOne,9932542,[email protected],https://www.google.com/maps/search/?api=1&query=CareOne%20Dental%20%26%20Clinic%2C%20CareOne%2C%20Maldives,6
Centara Clinic,General Clinic,"Centara Clinic, Centara",Centara,9912447,[email protected],https://www.google.com/maps/search/?api=1&query=Centara%20Clinic%2C%20Centara%2C%20Maldives,6
Center for Traditional Medicine,General Clinic,"Center for Traditional Medicine, Center",Center,3320105,[email protected],https://www.google.com/maps/search/?api=1&query=Center%20for%20Traditional%20Medicine%2C%20Center%2C%20Maldives,6
Central Clinic,General Clinic,"Central Clinic, Central",Central,7511844,[email protected],https://www.google.com/maps/search/?api=1&query=Central%20Clinic%2C%20Central%2C%20Maldives,6
Central Medical Center,General Clinic,"Central Medical Center, Central",Central,7511844,[email protected],https://www.google.com/maps/search/?api=1&query=Central%20Medical%20Center%2C%20Central%2C%20Maldives,6
CHARM DENTAL & SKIN CLINIC,Area Specific Clinic,"CHARM DENTAL & SKIN CLINIC, CHARM",CHARM,7771849,[email protected],https://www.google.com/maps/search/?api=1&query=CHARM%20DENTAL%20%26%20SKIN%20CLINIC%2C%20CHARM%2C%20Maldives,6
Cheval Blance Randeli Clinic,General Clinic,"Cheval Blance Randeli Clinic, Cheval",Cheval,7303340,[email protected],https://www.google.com/maps/search/?api=1&query=Cheval%20Blance%20Randeli%20Clinic%2C%20Cheval%2C%20Maldives,6
