Name (English),Name (Dhivehi),Address (English),Address (Dhivehi)
Four Seasons Resort Kuda Huraa Clinic,,Four Season Resort Maldives at Kudahuraa Maldives,
Furana Clinic,,Furanafushi Island North Male Atoll 3332245 /,
Furaveri Clinic,,Furaveri Resort Maldives,
Gangehi Clinic HF - 23/ALP/PVT/706,,Gangehi Island Resort Adh. Gangehi Maldives,
Great Minds,,vavathi building 2A Male' Maldives,
Guest and Staff Clinic,,GDh. Konotta Gdh. Atoll Republic of Maldives,
Haajy Medical Clinic,,South Ward Hikifinifenmaage Hdh. Kulhudhuffushi,
Hakuraa Medical Centre,,,
Halaveli Clinic,,Constance Halaveli Resort / North Ari Atoll 6667000 /,
Heart Care,,G. Alidhooge K. Male',
Helengeli Clinic,,Oblu Atmosphere at Helengeli Helengeli K. Male',
Hope Health Care,,101 H. Buruneege Dhekunuge K. Male',
Hudhuranfushi Clinic,,Adaaran Select Hudhuranfushi K. Lhohifushi,
Hurawalhi Clinic,,Hurawalhi Island Resort Lh. Hurawalhi Maldives,
Hussain Abdul Samad Memorial Clinic,,Maaya A.Dh. Dhangethi Republic of Maldives,
Huvadhoo Therapy Clinic,,Keyvakuge GDh. Thinadhoo,
Huvafen Fushi Clinic,,Huvafenfushi North Male' Atoll Malidives,
I wear,,M. Blue chip Orchid magu Male' Maldives,
I.M.D.C Multi Speciality Hospital,,Albany S.Hithadhoo 6888802 /,
ICATT Maldives- Medical Services,,5C 5th Floor Sakaimoo Building Haveeree Hingun Male',
Ifuru Clinic,,Ifuru Island R. Atoll,
IHG Maamunagau Clinic,,Maamunagau Island Raa Atoll,
Image Centre,,H. Shady Palm Hithafinivaa magu Male',
Imperial Medicare Centre,,G. Chaman K.Male',
Indira Gandhi Memorial Hospital (IGMH),,Boduthakurufaanu Magu Male',
Institute For Counselling And Psychotherapy,,H.HaifaBodufenavalhuge Magu Male',
Ithaafushi Clinic,,Ithaafushi Male Atoll 7469981 /,
Jawakara Clinic,,Mabinhura Island Lahviyan Atoll Maldives,
JP Memorial Clinic,,Robinson maldives GA. Funamaudda Huvadhu Atoll Rep.of.maldives,
Kaam Medical,,Lot 10414 Ahigas Magu Hulhumale',
Kagi Clinic,,Kagi Maldives Spa Island,
Kandolhu Clinic HF -23/ALP/PVT/713,,A.A. Kandolhudhoo,
Kandooma Clinic,,Holiday Inn Resort Kandooma,
Kanuhura Clinic,,Kanuhura Lhaviyani,
Knowhub,,G. Hiyaakuri Alikilegefaanu Magu Male' 3320037 7320037 / Shuhda@gmail.com 9553112,
Komandoo Clinic HF -23/ALP/PVT/712,,Komandoo Maldives Island Resort,
Kothaifaru Clinic,,Alila Kothaifaru Maldives Raa Atoll,
Kuda Villingili,,Kuda villingili resort,
Kulhelama Therapy,,M. Kulunuvehi 6A Buruzu Magu,
Kulunu Medical Clinic,,M. Naarigugasdhoshuge K.Male' 4003311 /,
Kunaavashi Clinic,,Nooe Maldives Kunaavashi Vaavu Atoll,
Kuramathi Medical Centre,,Kuramathi Tourist Resort Ari Atoll,
kuredivaru Clinic,,Movenpick Maamunagau Resort Noonu Atoll Maldives 9444200,
Kurumba Clinic,,Kurumba Maldives K. Vihamanaafushi Republic of Maldives,
Lab Maldives,,Lot No. 11261 K. Hulhumale' Republic of Maldives,
Leaf of Life Clinic,,Anthurium/ Ha. Kelaa 7845624/,
Leykokaa Medical and Rehabilitation Centre,,H. Meerubahuruge,
Life Care Medical Centre,,Rabarugas Magu 9 Lot No: 11382,
Life Wellness Clinic,,Hiyaa FlatH-5G-22300Hulhumale',
Lux Maldives Resort Clinic,,Adh. DhidhdhooFinolhu 6680513 /,
Maadhoo Clinic,,Ozen by Atmosphere at Maadhoo K. Maadhoo Republic of Maldives,
Maafushivaru Clinic,,,
Maamigili Clinic,,R. Maamigili Republic of Maldives,
Maandhoo Medical Centre,,buildingL. Maandhoo,
Maayafushi Clinic,,Maayafushi Tourist Resort AA. Maayafushi Republic of Maldives,
MACL Medical Clinic,,Velaana International Airport,
Mafhaa Diagnostic Centre,,Male' Grand Mezzanine Floor Waysidecom 204 & 205,
Magey Physio,,Nine House floor 8,
Maldives Alternative Medical Centre,,M. Aluvimaage Aage Nedhun Goalhi K. Male',
Maldives Neuro Endocrine Medical Facility,,G. Maajehi Anex K. Male',
Master Dental Care Centre,,G. Kudhithiyara Male' Republic of Maldives,
Master Dental Care Centro,,Centro Mini Hall Hulhumale' Maldives,
Master Medical and Dental Care Centre,,Jihaadh Gdh. Gadhdhoo,
Medhope Medical Centre,,Ma. Pinnacle Chaandhanee Magu Male' Maldives 3334966 /,
Medica,,1st 2nd3rd4th and 5h floor M. dhahana. Fareedhee magu / k. male',
Medica Annex,,Daaf Store No.1 Faamudheyri Magu Maafannu Male',
Medical & Hyperbaric Clinic,,Kuredu Island Lhaviyani Atoll,
Medicrest Clinic and Diagnostics,,Dhoodhaari Imaaraaiyy N. Velidhoo,
Mediflex Dental and Maxillofacial Surgery,,M. Maayaa Gandakoali magu Male',
Mednova Medical Center,,M. Aadhilleege Male' 7837060/,
Meedhupparu Clinic,,R. Meedhupparu,
Meeru Clinic,,Meeru island resort and spa,
Milaidhoo Clinic,,Milaidhoo Island Resort,
Mind Space,,M. Lodge K. Male',
Mindcare Clinic,,H. Meedhoo finihiyaa goalhi Male' 7717174 Hiya 11 Ground Floor Unit no:
MIPSTAR,,M.A Kinaaraa House 7442626 /,
Miriandhoo Medical Services,,Miriandhoo Island B. Atoll,
Moving Cure,,H. Bandosge Dhunbugas Magu Male' 7661808 /,
MPI Clinique,,Madifushi Private Island Meemu Madifushi 11020 Republic of Maldives,
Mudhdhoo Clinic,,B. Mudhoo Island Male,
Muraka Clinic,,JW Marriot K. Atoll Island Resort 5th Floor Unit C Orchid Magu,
My Clinic,,Ma. Milano Ground Floor K.Male' Republic of Maldives,
My Dental Care HF -23/ALP/PVT/710,,Maamigili council 2 number fihaara,
My Family Dentist,,Unit H3-G-10 Hiyaa Hulhumale' Male' 3338800,
My Family Dentist Male',,H. Glister 1st Floor Abadhah Fehi Magu 20081 K.Male' 3338800 /,
