Name (English),Name (Dhivehi),Address (English),Address (Dhivehi)
Atoll Clinic,އެޓޯލް ކްލިނިކް,"Hulhumale Lot 10133, Halaveli Magu",ހުޅުމާލެ ލޮޓް 10133، ހަލަވެލި މަގު
Valley Dental,ވެލީ ޑެންޓަލް,"M. Sailaa, Izzuddeen Magu, Male'",މ. ސައިލާ، އިއްޒުއްދީން މަގު، މާލެ
Mercure Maldives Kooddoo Clinic,މާކިއުރ މޯލްޑިވްސް ކޫއްޑޫ ކްލިނިކް,GA. Kooddoo,ގއ. ކޫއްޑޫ
Joali Being Clinic,ޖޯލި ބީންގް ކްލިނިކް,Raa Bodufushi,ރ. ބޮޑުފުށި
Novalux Diagnostics,ނޮވަލަކްސް ޑައިގްނޯސްޓިކްސް,"K. Thulusdhoo, Maldives",ކ. ތުލުސްދޫ، ދިވެހިރާއްޖެ
Maalifushi by Como,މާލިފުށި ބައި ކޯމޯ,"COMO Maalifushi, Thaa Atoll",ތ. މާލިފުށި
The Clinic At Sirru Fen Fushi,ދަ ކްލިނިކް އެޓް ސިއްރު ފެން ފުށި,Sh. Gaakoshibee,ށ. ގާކޮށިބީ
Leykokaa Medical & Rehab,ލޭކޮކާ މެޑިކަލް އެންޑް ރިހެބް,"H. Meerubahuruge, Male'",ހ. މީރުބަހުރުގެ، މާލެ
Maldives Diagnostic Centre,މޯލްޑިވްސް ޑައިގްނޯސްޓިކް ސެންޓަރު,"G. Velagala, K. Male'",ގ. ވެލަގަލާ، މާލެ
Faruvaa Clinic,ފަރުވާ ކްލިނިކް,"G. Rosary West, K. Male'",ގ. ރޯޒަރީ ވެސްޓް، މާލެ
CyMa Care Hulhumale',ސައިމާ ކެއަރ ހުޅުމާލެ,"Hithigas Magu, Hulhumale'",ހިތިގަސް މަގު، ހުޅުމާލެ
Paradise Medical Center,ޕެރަޑައިސް މެޑިކަލް ސެންޓަރު,K. Lankafinolhu,ކ. ލަންކަންފިނޮޅު
Healing Care Medical Center,ހީލިންގ ކެއަރ މެޑިކަލް ސެންޓަރު,"Mathivaru, Kulhudhuffushi City",ކުޅުދުއްފުށި ސިޓީ، މަތިވަރު
Pro Care Clinic and Dental,ޕްރޯ ކެއަރ ކްލިނިކް އެންޑް ޑެންޓަލް,ADH. Mahibadhoo,އދ. މަހިބަދޫ
Joali Muravandhoo Clinic,ޖޯލި މުރަވަަންދޫ ކްލިނިކް,R. Muravandhoo,ރ. މުރަވަަންދޫ
Resort Medical & Lab Services,ރިސޯޓް މެޑިކަލް އެންޑް ލެބް ސާވިސަސް,"M. Chanbeyleege, Male'",މ. ޗަންބޭލީގެ، މާލެ
Thundufushi Medical Clinic,ތުނޑުފުށި މެޑިކަލް ކްލިނިކް,Diamonds Thundufushi Resort,ޑައިމަންޑްސް ތުނޑުފުށި ރިސޯޓް
Maldives Alternative Medical,މޯލްޑިވްސް އަލްޓަނޭޓިވް މެޑިކަލް,"M. Aluvimaage Aage, Male'",މ. އަލުވިމާގެ އާގެ، މާލެ
Fihalhohi Clinic,ފިހާޅޯހި ކްލިނިކް,Fihalhohi Island Resort,ފިހާޅޯހި އައިލެންޑް ރިސޯޓް
Primax Medicare,ޕްރައިމެކްސް މެޑިކެއަރ,"M. Huvandhu Gandhakoalhige, Male'",މ. ހުވަަންދޫ ގަންދަކޯޅިގެ، މާލެ
Eve Clinic West Park,އީވް ކްލިނިކް ވެސްޓް ޕާކް,"M. Laalpoolge Aage, Male'",މ. ލާލްޕޫލްގެ އާގެ، މާލެ
Male' Eye Clinic,މާލެ އައި ކްލިނިކް,"M. Canopus, Orchid Magu, Male'",މ. ކެނޯޕަސް، އޯކިޑް މަގު، މާލެ
Eye Care Hospital Annex,އައި ކެއަރ ހޮސްޕިޓަލް އެނެކްސް,"Lot 10420, Hulhumale'",ލޮޓް 10420، ހުޅުމާލެ
Eye Zone Clinic,އައި ޒޯން ކްލިނިކް,"Zenith, GDh. Thinadhoo",ގދ. ތިނަދޫ، ޒެނިތް
Oracare Dental,އޮރަކެއަރ ޑެންޓަލް,"Lot 10110, Hulhumale'",ލޮޓް 10110، ހުޅުމާލެ
Modern Medical Centre,މޮޑަން މެޑިކަލް ސެންޓަރު,"Fehifarudhaage, L. Fonadhoo",ފެހިފަރުދާގެ، ލ. ފޮަނަދޫ
Herbal Medi Clinic,ހަރްބަލް މެޑި ކްލިނިކް,"M. Mivaru, Karneyshan Magu, Male'",މ. މިވަރު، ކަރްނޭޝަން މަގު، މާލެ
Kandolhu Clinic,ކަނދޮޅު ކްލިނިކް,A.A. Kandolhudhoo,އއ. ކަނދޮޅުދޫ
Vision Care Optical,ވިޜަން ކެއަރ އޮޕްޓިކަލް,Ga. Villingili,ގއ. ވިލިނގިލި
Maldives Neuro Endocrine,މޯލްޑިވްސް ނިއުރޯ އެންޑަކްރިން,"G. Maajehi Anex, Male'",ގ. މާޖެހި އެނެކްސް، މާލެ
Mediflex Laboratories,މެޑިފްލެކްސް ލެބޯޓްރީސް,"M. Cottage, Male'",މ. ކޮޓޭޖް، މާލެ
