Name (English),Address (English),Name (Dhivehi),Address (Dhivehi)
Aahiyans Medical Clinic,Aahiyaa, Lh. Hinnavaru 7933326 /,,
Abuharee Medical Centre,"Kulee Bin 9A/F2/1 , S. Hithadhoo, Addu City Maldives",,
ADK Hospital,K.Male', Republic of Maldives,,
ADK Hospital Reach Clinic Maaranfushi,Oaga Art Resorts K. Maaranfushi,,
Advance Diagnostic Center,"Meenaaz, B. Eydhafushi, Maldives",,
Advance Eye Clinic,"M. Excell, Kanbaa Aisarani Hingun, Male', Maldives",,
Advance Medical Clinic,"G. Rocketge, Male', Republic of Maldives 3007788 /",,
Aims Diagnostic Care,"Rihaab, S. Feydhoo, Republic of Maldives",,
Alai Play and Learn Therapy Center,"Hulhumale Lot 11123, Raw house 13-08, Republic of Maldives",,
Alimatha Clinic,Vaavu Atoll Alimatha Aquatic Resort,,
AMDC Physiotherapy Department,"M. Misururuvaage , Shaariuvaadhee",,
Amilla Sihhath,Amilla Fushi B. Finolhas,,
Amingiri Clinic,Hilton Maldives Amingiri Resort & SPA,,
Ananatara Dhigu Clinic,"Anantara Resort and Spa Maldives, K. Dhigufinolhu",,
Anantara Kihavah Villas Clinic,"Anantara Kihavah Villas, B. Kihavah Huravalhi, Republic of Maldives",,
Angaga Medicals,"Angaga Island Resort and spa, Adh. Angaga",,
Angsana Velavaru Medical Centre,Angsana Resort & Spa Maldives Velavaru,,
Asisa Medical Center,"H. Ranveli, Ground Floor,K.Male', Republic of Maldives",,
Athuruga Medical Clinic,Diamonds Athuruga Island Resort Republic of Maldives,,
Ayada Maldives Resort Clinic,"GDh. Maguhdhuvaa Island, Maldives 6844444,",,
Azmi Naeem Medical & Diagnostic Centre,"M. Misruvaage, Shaariuvarudhee Magu, Male' 3325979 /",,
Baros Clinic,Baros Maldives K. Baros,,
BCare,Barcelo Whale Lagoon Maldives Adh. Bodufinolhu,,
Bliss Care,"Gulzaaruge, Lh. Naifaru 7953726 /",,
Blyss Multi-Speciality Therapy Centre,"Hulhumale', Lot 10505",,
Bolifushi Clinic,"Bolifushi Island Resort, K. Bolifushi",,
Bulbul Therapy Clinic,"Hedheykuri, Hdh. Kulhudhuffushi",,
Care Max Clinic 1,Taj coral reef and spa  Maldives,,
Care Medicals Services,"Ma. Noorihi, 1st Floor, Kaamineemagu",,
Care Trust Multi Speciality Clinic,"Hm Commercial Unit, Huvandhumaa Hingun, Male', Maldives 3359001 /",,
Careone Dental & Clinic,H. Nivai,,
Central Clinic,"1st Floor, M. Dhihlee Villa, Male'",,
Central Medical Center,"1st Floor& 2nd floor M.Nimsa, Male'",,
Centre for Traditional Medicine,"Ma. Maathandi, K. Male', Republic of Maldives 3320105 /",,
Cheval Blance Randeli Clinic,"Cheval Blanc Randheli, N.Atoll, Republic of Maldives",,
Child Development Clinic,3357033,,
Chinese Health Care,"G. Maajehige, 1st Floor, Lily Magu, Male' 3336866 /",,
Cinnamon Dhonveli Maldives Medical Clinic,Cinnamon Dhonveli Maldives,,
Cinnamon Velifushi Maldives Medical Clinic,"Cinnamon Velifushi Maldives, V. Aarah, Maldives",,
City Opticals,"R9-05 2nd Floor, Hithigas Magu, Hulhumale'",,
Cocoa Island Island,"Cocoa Island, K. Makunufushi, Maldives",,
Cocogiri Clinic,"Vashugiri, Vaavu Atoll, Republic of Maldives",,
Constance Moofushi Resort Clinic,"Constance Moofushi Resort/ South Ari Atoll dr.moofushiresort.com,",,
D.S.M Clinic,H. Dhiggaamaage Male' Maldives,,
Dental Care Centre,"Ma. Meyvaagasdhoshuge, 1st Floor 3328446,",,
Dental Studio,ameen avenue reethigas magu hulhumale,,
Dharavandhoo Medical Center,Hamavathi B. Dharavandhoo,,
Dhivehi Beys Clinic,Lot No 10176 Hulhumale',,
Dhoonidhoo Clinic,"Dhoonidhoo Office Building, K. Dhoonidhoo",,
Dhugethi Dhivehibeys Clinic,"Ma. Forsythia, K. Male'",,
Doctor's Clinic,"Maafushivaru Maldives, Adh. Maafushivaru, Republic of Maldives",,
Dr Didi Dental And Medical Center,"Lot No. 10409, Ahigas Magu, Hulhumale', Maldives",,
Dr Usama Dental Clinic,"H. Relic, hakuraa goalhi, Male'",,
Dr. Didi Dental Centre,"G. Dhathuge, K. Male', Republic of Maldives",,
Dr. Jihad's Medical and Dental Centre,"Ma.Red Rose Hulhangubai, Buruzumagu, Male', Maldives",,
Dr. Usama's Clinic Maafannu,"M. Green Life, K. Male', Republic of Maldives",,
Dream Land Clinic,"Dreamland The Unique Sea and Lake Resort Spa/ B. Hirundhoo",,
Early Intervention Therapy Centre,"G. Kakaage Aage, K.Male', Republic of Maldives",,
Elite Medical Centre,"Ma. Boige, K.Male', Republic of Maldives",,
Ellaidhoo Clinic,Ellaidhoo Alif Alif Atoll,,
Emerald Dental Care,"Lot No: 11157 Hulhumale', K. Male'",,
