id,name,address,category,location_type,name_dv,address_dv
4f002dbd-1c4e-4b1d-a292-135c18ba3c1a,"A,Dh. Dhangethi Health center","A,Dh. Dhangethi Health center, A,Dh","Health Centre Grade 3",Island,,
79edf1e1-9a01-451b-859e-b9989ec6ea6f,"A.A Feridhoo Health Centre","A.A Feridhoo Health Centre, Alif Alif Atoll","Health Centre Grade 2",Resort,,
12cef590-dedd-4d87-8cde-c3badf66be59,"A.A. Maalhos Health Centre","A.A. Maalhos Health Centre, A.A.","Health Centre Grade 1",Island,,
703f46a3-c870-45ee-910b-a01208364207,"A.Dh Dhidhoo Health Centre","A.Dh Dhidhoo Health Centre, A.Dh","Health Centre Grade 1",Island,,
3173adae-07d4-4853-870e-bdc528322802,"A.Dh Dhigurah Health Centre","A.Dh Dhigurah Health Centre, A.Dh","Health Centre Grade 2",Island,,
39af3dc3-254e-4146-95a9-9e9e81ee2389,"A.Dh Maamigilee Health Centre","A.Dh Maamigilee Health Centre, A.Dh","Health Centre Grade 4",Island,,
59a497db-51d2-4279-8314-2b9505b410de,"A.Dh Mandhoo Health Centre","A.Dh Mandhoo Health Centre, A.Dh","Health Centre Grade 1",Island,,
39a16f6d-0f43-4a97-84e5-c17dd34761fd,"AA. Atoll Hospital","AA. Atoll Hospital, AA.","Hospital Grade 1",Resort,,
3e9ae197-43a9-4f5e-a5e3-ecb06bfcc786,"AA. Bodufolhudhoo Health Centre","AA. Bodufolhudhoo Health Centre, AA.","Health Centre Grade 1",Island,,
e25e0474-3dc1-4624-a050-9cb8f7d5dd9e,"AA. Himandhoo Health center","AA. Himandhoo Health center, AA.","Health Centre Grade 1",Island,,
405c5d93-8b80-4d32-95c8-396df39d9db0,"AA. Mathiveree Health Centre","AA. Mathiveree Health Centre, AA.","Health Centre Grade 3",Island,,
4d04ec87-fcec-49c1-b188-00ff54b401d1,"AA. Thoddoo Health Centre","AA. Thoddoo Health Centre, AA.","Health Centre Grade 3",Island,,
1a06559d-0f01-4b80-a66a-9fafca64751b,"AA. Ukulhas Health Centre","AA. Ukulhas Health Centre, AA.","Health Centre Grade 3",Island,,
c74526e3-7f4e-4d96-a6ce-0b6c65a09608,"Aanugandu Island Resort Clinic","Aanugandu Island Resort Clinic, Aanugandu","General Clinic",Resort,,
ce5155dd-d574-45a3-a0d1-17cf122d3253,"Addu Equatorial Hospital","Addu Equatorial Hospital, Addu","Tertiary Hospital",Island,,
643e1985-f11a-4bb4-bca2-86be802e18b8,"Adh. Atoll Hospital","Adh. Atoll Hospital, Adh.","Hospital Grade 1",Resort,,
cb1c307c-f24c-4346-9f8e-6ce8e9d68bc3,"Adh. Fenfushi Health Centre","Adh. Fenfushi Health Centre, Adh.","Health Centre Grade 2",Island,,
c960da82-7f74-4eee-a439-2e1d6245b6d7,"Adh. Hangnaameedhoo Health Centre","Adh. Hangnaameedhoo Health Centre, Adh.","Health Centre Grade 1",Island,,
63a52dea-21e0-4022-839b-3d686d914b55,"Adh. Kurunburudhoo Health Centre","Adh. Kurunburudhoo Health Centre, Adh.","Health Centre Grade 1",Island,,
f465c6eb-7282-4bb3-a71f-05255e99eab9,"Adh. Omadhoo Health Centre","Adh. Omadhoo Health Centre, Adh.","Health Centre Grade 2",Island,,
406a505e-da5b-492e-add6-60701924ab1d,"ADK Hospital Reach Clinic","ADK Hospital Reach Clinic, ADK","General Clinic",Island,,
b7c1acf6-e35e-448c-9013-82a9543fc0d4,"AIMS Diagnostic Care","AIMS Diagnostic Care, AIMS","General Clinic",Island,,
03324b2f-81e9-47c8-a1cc-1aa459d48e8a,"AL- KHAIRU MEDICAL CENTRE","AL- KHAIRU MEDICAL CENTRE","General Clinic",Island,,
dba49336-431a-4760-a320-97c69756f862,"Alai Play and Learn Therapy Center","Alai Play and Learn Therapy Center, Alai","Therapeutic Service Clinic",Island,,
472f21ae-efe3-4d64-88f5-87877a535744,"Ambience Medical ServicesClosed","Ambience Medical ServicesClosed, Ambience","General Clinic",Island,,
a6ac3457-aeb8-4cb6-a13e-609a4665b8d8,"Amina Dhiyo Health Centre","Amina Dhiyo Health Centre, Amina","Health Centre Grade 1",Island,,
4c938535-1362-456d-aed9-20b8a242736b,"Ana's Aesthetic Clinic","Ana's Aesthetic Clinic","General Clinic",Island,,
32adba98-59e6-41b9-9bab-2036a7bead65,"Atoll ClinicClosed","Atoll ClinicClosed, Atoll","General Clinic",Resort,,
be8fa145-1b2c-4234-bb31-bbb269ece066,"Atolls Guest Clinic","Atolls Guest Clinic, Atolls","General Clinic",Resort,,
5e3b442a-5362-4ee5-9483-05bd7435d6e5,"Azmi Naeem Medical and Diagnostic Centre","Azmi Naeem Medical and Diagnostic Centre, Azmi","General Clinic",Island,,
99917f47-28d9-4d5e-aada-d98c167715db,"B. Dharavandhoo Health Centre","B. Dharavandhoo Health Centre, B.","Health Centre Grade 3",Island,,
1c35e77d-9e3a-435f-a379-361572038509,"B. Dhonfanu  Health Centre","B. Dhonfanu  Health Centre, B.","Health Centre Grade 1",Island,,
1ca48466-819f-4c8a-a91d-84c7ef04fd58,"B. Fehendhoo Health Centre","B. Fehendhoo Health Centre, B.","Health Centre Grade 1",Island,,
abe3bc40-f664-4cdb-8a5e-2503a9c60cbe,"B. Fulhadhoo Health Centre","B. Fulhadhoo Health Centre, B.","Health Centre Grade 1",Island,,
a9cbeba7-8358-4194-9df0-89be64851dc8,"B. Goidhoo Health Centre","B. Goidhoo Health Centre, B.","Health Centre Grade 3",Island,,
a875ba62-b98c-4d72-88f6-139170dfb06d,"B. Hithaadhoo Health Centre","B. Hithaadhoo Health Centre, B.","Health Centre Grade 2",Island,,
f38c8247-7420-4174-915b-6f2af9c36271,"B. Kamadhoo Health Center","B. Kamadhoo Health Center, B.","Health Centre Grade 1",Island,,
88554dab-6420-4d80-9118-93d8e7204338,"B. Kendhoo Health Centre","B. Kendhoo Health Centre, B.","Health Centre Grade 3",Island,,
51e3395e-a7ac-4f74-90da-2089b06231e3,"B. Kihaadhoo Health Centre","B. Kihaadhoo Health Centre, B.","Health Centre Grade 1",Island,,
8c2e9073-79af-4a36-9b78-173b8dfd9ca9,"B. Kudarikili Health Centre","B. Kudarikili Health Centre, B.","Health Centre Grade 1",Island,,
2afc86be-9ee0-45c8-890e-49aaaacaa3db,"B. Maalhos Health Centre","B. Maalhos Health Centre, B.","Health Centre Grade 1",Island,,
f2032f78-4378-4383-b349-15fd371e5175,"B. Thulhaadhoo Health Centre","B. Thulhaadhoo Health Centre, B.","Health Centre Grade 4",Island,,
9b6f7731-7abd-48ad-9de1-ad24110cfd5c,"Baa Atoll Hospital","Baa Atoll Hospital, Baa Atoll","Hospital Grade 2",Resort,,
8b26f4d5-6e06-41dc-b048-967102d674df,"Bandos Medical Clinic and Hyperbaric Treatment Centre","Bandos Medical Clinic and Hyperbaric Treatment Centre, Bandos","General Clinic",Island,,
c1780c74-cf93-43f5-b1bd-08697d5018d3,"Blu Clinic","Blu Clinic, Blu","General Clinic",Island,,
847aacdf-6d38-4c53-a2bd-e906b487684e,"Bluspan Care","Bluspan Care, Bluspan","Therapeutic Service Clinic",Island,,
86f662bf-4d4c-4676-ba17-afcbeef44de8,"Bluspan Care Annex - 1","Bluspan Care Annex - 1, Bluspan","Therapeutic Service Clinic",Island,,
05ff7287-a685-4bbc-b283-fa2072970779,"Bluspan Care Dhidhdhoo","Bluspan Care Dhidhdhoo, Bluspan","Therapeutic Service Clinic",Island,,
a2674cd2-0a79-4ba3-9dc0-fe3233f0629f,"Blyss Multi-Specialty Therapy Centre","Blyss Multi-Specialty Therapy Centre, Blyss","General Clinic",Island,,
fb23c3f5-0e70-4afe-9cdb-3e7be6d9008e,"CAREMORE MEDICALS","CAREMORE MEDICALS, CAREMORE","General Clinic",Island,,
5c113daf-bd39-4fd4-ac3c-069706215524,"CareOne Dental & Clinic","CareOne Dental & Clinic, CareOne","General Clinic",Island,,
f3757021-904b-458a-bae4-0fb88388ab77,"Centara Clinic","Centara Clinic, Centara","General Clinic",Island,,
d1efbe19-b02a-4f5d-b8f8-a7bbad9e6a1f,"Center for Traditional Medicine","Center for Traditional Medicine, Center","General Clinic",Island,,
67902305-3a49-46e0-9beb-8909b0c43b34,"CHARM DENTAL & SKIN CLINIC","CHARM DENTAL & SKIN CLINIC, CHARM","Area Specific Clinic",Island,,
bb9f7e91-8049-4195-b522-b6652b79bcee,"City Optical","City Optical, City","Area Specific Clinic",Island,,
e6c2855d-c386-4d00-b404-4dd1dedfe96d,"Clinica HiyaClosed","Clinica HiyaClosed, Clinica","General Clinic",Island,,
5e20da7a-9a7f-46e0-bec3-75939b81b529,"Cocoa Island Clinic","Cocoa Island Clinic, Cocoa","General Clinic",Island,,
452744bf-8a4d-432f-a717-c41e2746fae6,"CORAL BAY CLINIC","CORAL BAY CLINIC, CORAL","General Clinic",Island,,
6127d1c3-f812-4390-a51f-918e334ffc25,"DH. Atoll Hospital","DH. Atoll Hospital, DH.","Hospital Grade 2",Resort,,
6ff52caa-6210-4c81-b45c-986e12e66e8e,"DH. Bandidhoo Health Centre","DH. Bandidhoo Health Centre, DH.","Health Centre Grade 2",Island,,
71942c90-31e1-4f79-80ef-21399ed60673,"DH. Hulhudhelee Health Centre","DH. Hulhudhelee Health Centre, DH.","Health Centre Grade 1",Island,,
6a61dced-f307-42f9-8484-f72e60fd7ef0,"DH. Maaenboodhoo Health Centre","DH. Maaenboodhoo Health Centre, DH.","Health Centre Grade 1",Island,,
d3a10415-c3b2-405b-9825-159056c719dc,"Dh. Meedhoo Health Center","Dh. Meedhoo Health Center, Dhaalu Atoll","Health Centre Grade 3",Resort,,
e31e2855-7b84-4482-9ecd-f60651f83733,"DH. Rinbidhoo Health Centre","DH. Rinbidhoo Health Centre, DH.","Health Centre Grade 1",Island,,
ca1aceed-4991-466f-b83f-9a25e0583925,"Dharumavantha Hospital","Dharumavantha Hospital, Dharumavantha","Tertiary Hospital",Island,,
5b96a741-4c4a-41ab-bfda-3f35a7330c80,"Dhirithi Faruvaa","Dhirithi Faruvaa, Dhirithi","Complementary Medicine Clinic",Island,,
5d562f95-157d-484d-af5e-cd8147921979,"Dhugethi Dhivehibeys clinic","Dhugethi Dhivehibeys clinic, Dhugethi","Traditional Medicine Clinic",Island,,
77213253-cf01-43a4-ad50-059262a36937,"Dhun-nika dhivehibeys clinic","Dhun-nika dhivehibeys clinic","Therapeutic Service Clinic",Island,,
0c6484c4-ae5f-400e-b88d-2fdc82fa7f97,"Dr. Abduh Samad Memorial Hospital","Dr. Abduh Samad Memorial Hospital, Dr.","Hospital Grade 3",Island,,
1aeae32e-de1d-47ab-b8fe-3ad19453b5c7,"Dr. Jihad's Dental and Medical Centre","Dr. Jihad's Dental and Medical Centre, Dr.","Area Specific Clinic",Island,,
5c88f6b0-103b-4cc5-b3e5-aee48a659a8d,"Dreamland Clinic","Dreamland Clinic, Dreamland","General Clinic",Island,,
618be9b2-7df6-480a-bba5-41e6932c7fea,"Elite Medical Center","Elite Medical Center, Elite","General Clinic",Island,,
5fa066ba-75b1-42ce-b6bd-165d27345785,"Embudu Village Clinic","Embudu Village Clinic, Embudu","General Clinic",Island,,
718d2b9c-7008-4ec3-ad43-67d5060c62fb,"Eri Maldives Clinic","Eri Maldives Clinic, Eri","General Clinic",Island,,
57ce82a5-b295-4c37-b901-0efceae1dd7f,"Eriyadu ClinicClosed","Eriyadu ClinicClosed, Eriyadu","General Clinic",Island,,
1c597674-b995-4f50-bfa6-33d7302fd952,"Esma Dhivehi Beys ClinicClosed","Esma Dhivehi Beys ClinicClosed, Esma","Traditional Medicine Clinic",Island,,
8f2d207b-fcdc-46b0-9287-60ab56ea0f4e,"European Clinic MaldivesClosed","European Clinic MaldivesClosed, European","General Clinic",Island,,
887e63f6-1683-4ef1-a143-10af30aa7c7b,"Eve Clinic Vinares","Eve Clinic Vinares, Eve","General Clinic",Island,,
93a64186-b2ff-42e7-a35f-4b28edca8c2e,"Eye Care Clinic","Eye Care Clinic, Eye","Area Specific Clinic",Island,,
d327c695-2918-4c24-acd1-bda48a00d3c1,"Eye Care Clinic Hulhumale' Branch","Eye Care Clinic Hulhumale' Branch, Eye","Area Specific Clinic",Hulhumale,,
175e9237-5c99-4c85-a3ee-9ddf9411e3b9,"Eye Care Clinic, Fareedhee Magu BranchClosed","Eye Care Clinic, Fareedhee Magu BranchClosed, Eye","Area Specific Clinic",Island,,
148fa813-cb76-4f77-a8e0-f89ead86bf04,"Eye Care Opticals","Eye Care Opticals, Eye","Area Specific Clinic",Island,,
5630ce00-e62e-4d61-be78-b2d00736e7db,"F & C Medicare","F & C Medicare, F","General Clinic",Island,,
fde5f89a-0ae2-4443-8c94-c31cfda3be56,"F & C Medicare, Meedhoo","F & C Medicare, Meedhoo, F","General Clinic",Island,,
687ff168-4416-4823-a0b4-030b5e816f71,"F. Atoll Hospital","F. Atoll Hospital, Faafu Atoll","Hospital Grade 1",Resort,,
68715852-0951-4905-bad4-9b652f32b13d,"F. Biledhoo Health Centre","F. Biledhoo Health Centre, Faafu Atoll","Health Centre Grade 2",Resort,,
4bac4899-0742-4b3f-a5d0-8accb0a64a79,"F. Dharanboodhoo Health Centre","F. Dharanboodhoo Health Centre, Faafu Atoll","Health Centre Grade 1",Resort,,
e6c3967d-a21f-4040-9bf1-7bb1c0856812,"F. Feeali Health Center","F. Feeali Health Center, Faafu Atoll","Health Centre Grade 2",Resort,,
5f371de8-b6ec-43b3-a4b6-e8a7801311b2,"F.Magoodhoo Health Centre","F.Magoodhoo Health Centre, F.Magoodhoo","Health Centre Grade 2",Island,,
5dcc7745-d094-4596-bcac-1a5973bf55c8,"Family Care Clinic and Scan Center","Family Care Clinic and Scan Center, Family","General Clinic",Island,,
32239c6e-7d37-4986-b976-d49f9e585f23,"Family Planning Centre","Family Planning Centre, Family","General Clinic",Island,,
d506aab8-2985-4fb0-99dd-9180c647519d,"Farook HealthCare","Farook HealthCare, Farook","General Clinic",Island,,
a396323d-3a02-482b-80c3-2d38d8e62e18,"Faxys Hijama Clinic","Faxys Hijama Clinic, Faxys","Complementary Medicine Clinic",Island,,
5f349228-4182-4ae3-94f9-d3a02ff2bfef,"Four Seasons Resort Maldives at Kuda Huraa Clinic","Four Seasons Resort Maldives at Kuda Huraa Clinic, Four","General Clinic",Resort,,
