Name,Address,Contact,Atoll,Google_Maps_URL
STO IGMH Pharmacy,IGMH Hospital Male,+960 334 4242 / +960 334 4243,Kaafu (Male),https://www.google.com/maps/search/?api=1&query=IGMH+Pharmacy+Male+Maldives
STO Henveiru Pharmacy,Henveiru Male,+960 301 2732,Kaafu (Male),https://www.google.com/maps/search/?api=1&query=STO+Henveiru+Pharmacy+Male+Maldives
STO Hulhumale Pharmacy,Hulhumale,+960 301 2652,Kaafu (Hulhumale),https://www.google.com/maps/search/?api=1&query=STO+Pharmacy+Hulhumale+Maldives
STO Villimale Pharmacy,Villimale,+960 301 2722,Kaafu (Male),https://www.google.com/maps/search/?api=1&query=STO+Pharmacy+Villimale+Maldives
ADK Pharmacy 02,Kanbaaisa Rani Hingun Male,+960 332 2834,Kaafu (Male),https://www.google.com/maps/search/?api=1&query=ADK+Pharmacy+Kanbaaisa+Rani+Hingun+Male+Maldives
ADK Pharmacy 03,Raivila Magu Male,+960 332 7642,Kaafu (Male),https://www.google.com/maps/search/?api=1&query=ADK+Pharmacy+Raivila+Magu+Male+Maldives
ADK Pharmacy 05,Maaveyo Magu Male,+960 300 6802,Kaafu (Male),https://www.google.com/maps/search/?api=1&query=ADK+Pharmacy+Maaveyo+Magu+Male+Maldives
ADK Pharmacy 06,Handhuvaree Hingun Male,+960 300 5601,Kaafu (Male),https://www.google.com/maps/search/?api=1&query=ADK+Pharmacy+Handhuvaree+Hingun+Male+Maldives
ADK Pharmacy 10,Huvandhuma Hingun Male,+960 335 0860,Kaafu (Male),https://www.google.com/maps/search/?api=1&query=ADK+Pharmacy+Huvandhuma+Hingun+Male+Maldives
Tablet 02,Hulhuley Hingun Male,+960 339 1816,Kaafu (Male),https://www.google.com/maps/search/?api=1&query=Tablet+Pharmacy+Hulhuley+Hingun+Male+Maldives
Tablet 03,ADK Hospital Ground Floor Sosun Magu Male,+960 330 0387,Kaafu (Male),https://www.google.com/maps/search/?api=1&query=ADK+Hospital+Pharmacy+Sosun+Magu+Male+Maldives
Dial Pharmacy,Orchid Magu Male,+960 332 2283,Kaafu (Male),https://www.google.com/maps/search/?api=1&query=Dial+Pharmacy+Orchid+Magu+Male+Maldives
Advance Medical Pharmacy,Malé,+960 300-7788,Kaafu (Male),https://www.google.com/maps/search/?api=1&query=Advance+Medical+Pharmacy+Male+Maldives
Point Twelve Pharmacy,Malé,+960 332-9165,Kaafu (Male),https://www.google.com/maps/search/?api=1&query=Point+Twelve+Pharmacy+Male+Maldives
ADK Pharmaceutical Supply,Adk Pharmaceutical Supply Male,+960 301 8558,Kaafu (Male),https://www.google.com/maps/search/?api=1&query=ADK+Pharmaceutical+Supply+Male+Maldives
AMDC Pharmacy,M. Misuru-ruvaage Shaariuvarudhee Male 20253,+960 302-5968,Kaafu (Male),https://www.google.com/maps/search/?api=1&query=AMDC+Pharmacy+Male+Maldives
OTC Maldives,M. Saila Izzudhin Magu 1st Floor Male,Not Available,Kaafu (Male),https://www.google.com/maps/search/?api=1&query=OTC+Maldives+Pharmacy+Male
UMC Pharmacy,Malé,+960 333-6774,Kaafu (Male),https://www.google.com/maps/search/?api=1&query=UMC+Pharmacy+Male+Maldives
ICM4 Online Pharmacy (Male),Male City,Not Available,Kaafu (Male),https://www.google.com/maps/search/?api=1&query=ICM4+Pharmacy+Male+Maldives
ICM4 Online Pharmacy (Addu),Addu City,Not Available,Seenu (Addu),https://www.google.com/maps/search/?api=1&query=ICM4+Pharmacy+Addu+City+Maldives
ICM4 Online Pharmacy (Hulhumale),Hulhumale District,+960 777 4222,Kaafu (Hulhumale),https://www.google.com/maps/search/?api=1&query=ICM4+Pharmacy+Hulhumale+Maldives
Health and Glow Pharmacy,M. Nice Dream/Nice Dream Villa Male,+960 332-9413,Kaafu (Male),https://www.google.com/maps/search/?api=1&query=Health+and+Glow+Pharmacy+Male+Maldives
Apple Pharmacy,Male,+960 778 7230,Kaafu (Male),https://www.google.com/maps/search/?api=1&query=Apple+Pharmacy+Male+Maldives
Pharmacon Chemist,Hiri 8 Hulhumale',+960 333-0056,Kaafu (Hulhumale),https://www.google.com/maps/search/?api=1&query=Pharmacon+Chemist+Hulhumale+Maldives
Pharmacon Chemist,H. Roanwest Sandhubaraka Goalhi Male,Not Available,Kaafu (Male),https://www.google.com/maps/search/?api=1&query=Pharmacon+Chemist+Male+Maldives
GREEN Pharmacy,Male,+960 778-8710,Kaafu (Male),https://www.google.com/maps/search/?api=1&query=GREEN+Pharmacy+Male+Maldives
Orange Pharmacy,Malé,+960 979-4050,Kaafu (Male),https://www.google.com/maps/search/?api=1&query=Orange+Pharmacy+Male+Maldives
Getwell Pharmacy,Majeedhee Magu Road Malé,+960 777-6251,Kaafu (Male),https://www.google.com/maps/search/?api=1&query=Getwell+Pharmacy+Male+Maldives
Health & Beauty Pharmacy,Male,+960 300-6596,Kaafu (Male),https://www.google.com/maps/search/?api=1&query=Health+Beauty+Pharmacy+Male+Maldives
Point One Pharmacy,Malé,+960 331-8600,Kaafu (Male),https://www.google.com/maps/search/?api=1&query=Point+One+Pharmacy+Male+Maldives
Point Chemist,Malé,+960 300-5600,Kaafu (Male),https://www.google.com/maps/search/?api=1&query=Point+Chemist+Male+Maldives
Point Thirteen Pharmacy,Malé,+960 332-9165,Kaafu (Male),https://www.google.com/maps/search/?api=1&query=Point+Thirteen+Pharmacy+Male+Maldives
Point Seven Pharmacy,Malé,+960 332-9165,Kaafu (Male),https://www.google.com/maps/search/?api=1&query=Point+Seven+Pharmacy+Male+Maldives
Point Eight Pharmacy,Malé,+960 332-9165,Kaafu (Male),https://www.google.com/maps/search/?api=1&query=Point+Eight+Pharmacy+Male+Maldives
Moonima Chemist 2 (Closed),Lonuziyaarai Magu Male,Not Available,Kaafu (Male),https://www.google.com/maps/search/?api=1&query=Moonima+Chemist+Male+Maldives
Wind Ward Pharmacy 1,M. Vihafaru Muranga Magu Male,Not Available,Kaafu (Male),https://www.google.com/maps/search/?api=1&query=Wind+Ward+Pharmacy+Male+Maldives
Life Care Plus Pharmacy,Hulhumale Lot 10027,Not Available,Kaafu (Hulhumale),https://www.google.com/maps/search/?api=1&query=Life+Care+Plus+Pharmacy+Hulhumale+Maldives
Medcity Pharmacy,Hulhumale Flat 80 03 07,Not Available,Kaafu (Hulhumale),https://www.google.com/maps/search/?api=1&query=Medcity+Pharmacy+Hulhumale+Maldives
Med Silk Pharmacy,Boduthakurufaanu Magu Male,+960 729-2020,Kaafu (Male),https://www.google.com/maps/search/?api=1&query=Med+Silk+Pharmacy+Male+Maldives
USAMA Pharmacy,M. Greenlife Male,+960 333-0076,Kaafu (Male),https://www.google.com/maps/search/?api=1&query=USAMA+Pharmacy+Male+Maldives
Prime Care Investment,Hulhumale,Not Available,Kaafu (Hulhumale),https://www.google.com/maps/search/?api=1&query=Prime+Care+Pharmacy+Hulhumale+Maldives
Hulhumale Hospital Pharmacy,Hulhumale Hospital,+960 335-0037,Kaafu (Hulhumale),https://www.google.com/maps/search/?api=1&query=Hulhumale+Hospital+Pharmacy+Maldives
GKT Pharmacy,Majeedhee Magu Male,+960 332-2987,Kaafu (Male),https://www.google.com/maps/search/?api=1&query=GKT+Pharmacy+Majeedhee+Magu+Male+Maldives
Faith Pharmacy,Asrafee Magu Male,+960 771-5919,Kaafu (Male),https://www.google.com/maps/search/?api=1&query=Faith+Pharmacy+Asrafee+Magu+Male+Maldives
Care Plus Pharmacy,M. Velifaru Shaheed Ali Hungun Male,Not Available,Kaafu (Male),https://www.google.com/maps/search/?api=1&query=Care+Plus+Pharmacy+Male+Maldives
